Grady - min col or row,(1000, 1000),0.6,0.16737,0.16707,0.00362
Grady - max col or row,(1000, 1000),0.6,0.15774,0.15798,0.00319
Grady - all zeros,(1000, 1000),0.6,0.52093,0.51914,0.00985
Grady - all ones,(1000, 1000),0.6,0.13756,0.13762,0.00182
Grady - total fill percentage,(1000, 1000),0.6,0.16514,0.16573,0.00468
Swap,(1000, 1000),0.6,6.58833,6.57906,0.02974
Trial Swap,(1000, 1000),0.6,16.65524,16.67858,0.06517
Curveball,(1000, 1000),0.6,2.20295,2.20148,0.00646
Cupy,(1000, 1000),0.6,0.15111,0.15082,0.00401
Grady - fill and shuffle,(1000, 1000),0.7,0.13540,0.13519,0.00109
Grady - min col or row,(1000, 1000),0.7,0.16772,0.16706,0.00286
Grady - max col or row,(1000, 1000),0.7,0.15727,0.15753,0.00167
Grady - all zeros,(1000, 1000),0.7,0.57149,0.57378,0.01421
Grady - all ones,(1000, 1000),0.7,0.13420,0.13425,0.00169
Grady - total fill percentage,(1000, 1000),0.7,0.16595,0.16561,0.00358
Swap,(1000, 1000),0.7,9.65368,9.66034,0.03151
Trial Swap,(1000, 1000),0.7,13.73617,13.70921,0.06955
Curveball,(1000, 1000),0.7,2.13036,2.12790,0.00835
Cupy,(1000, 1000),0.7,0.14790,0.14782,0.00263
Grady - fill and shuffle,(1000, 1000),0.8,0.13338,0.13270,0.00199
Grady - min col or row,(1000, 1000),0.8,0.16731,0.16637,0.00373
Grady - max col or row,(1000, 1000),0.8,0.15458,0.15451,0.00261
Grady - all zeros,(1000, 1000),0.8,0.59851,0.60048,0.00909
Grady - all ones,(1000, 1000),0.8,0.13117,0.13116,0.00134
Grady - total fill percentage,(1000, 1000),0.8,0.16401,0.16414,0.00309
Swap,(1000, 1000),0.8,17.97647,17.93512,0.10630
Trial Swap,(1000, 1000),0.8,11.29531,11.29543,0.04424
Curveball,(1000, 1000),0.8,1.87622,1.87578,0.00655
Cupy,(1000, 1000),0.8,0.14991,0.14935,0.00199
Grady - fill and shuffle,(1000, 1000),0.9,0.13075,0.13065,0.00115
Grady - min col or row,(1000, 1000),0.9,0.16277,0.16244,0.00249
Grady - max col or row,(1000, 1000),0.9,0.14969,0.14941,0.00221
Grady - all zeros,(1000, 1000),0.9,0.56940,0.56884,0.00702
Grady - all ones,(1000, 1000),0.9,0.12895,0.12900,0.00139
Grady - total fill percentage,(1000, 1000),0.9,0.16445,0.16429,0.00341
Swap,(1000, 1000),0.9,59.42240,59.30540,0.43761
Trial Swap,(1000, 1000),0.9,9.23340,9.22510,0.05614
Curveball,(1000, 1000),0.9,1.47267,1.46998,0.00649
Cupy,(1000, 1000),0.9,0.14811,0.14593,0.00715
Grady - fill and shuffle,(10000, 1000),0.1,1.13009,1.13191,0.00975
Grady - min col or row,(10000, 1000),0.1,2.08382,2.09064,0.02090
Grady - max col or row,(10000, 1000),0.1,1.28139,1.28194,0.00868
Grady - all zeros,(10000, 1000),0.1,1.95068,1.95654,0.01231
Grady - all ones,(10000, 1000),0.1,1.11564,1.11542,0.00933
Grady - total fill percentage,(10000, 1000),0.1,1.04486,1.04562,0.02163
Swap,(10000, 1000),0.1,67.00070,66.91251,0.26434
Trial Swap,(10000, 1000),0.1,866.06074,866.06074,0.00000
Curveball,(10000, 1000),0.1,7.06972,7.06225,0.02841
Cupy,(10000, 1000),0.1,0.92301,0.92179,0.01354
